                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 0.7795,                 0.3631,                  1.082,                0.95695,                0.97135,                0.98394,                0.77984,                0.96336,                0.35842,                 1.1862,               0.005446,               0.005446,               0.005446
                     94,                0.78579,                0.36693,                 1.0787,                  0.955,                0.97462,                0.97888,                0.77672,                0.95816,                0.35534,                 1.1686,              0.0053965,              0.0053965,              0.0053965
                     95,                0.77966,                0.36207,                  1.077,                0.96066,                 0.9807,                0.98329,                0.78146,                0.96578,                0.35764,                 1.1811,               0.005347,               0.005347,               0.005347
                     96,                0.77568,                 0.3631,                  1.075,                0.96378,                0.97564,                0.98347,                0.78509,                0.95915,                0.35485,                 1.1741,              0.0052975,              0.0052975,              0.0052975
                     97,                0.76538,                0.35791,                 1.0667,                0.96831,                0.96991,                0.98087,                 0.7829,                0.95399,                0.35128,                 1.1609,               0.005248,               0.005248,               0.005248
                     98,                0.75778,                0.34943,                 1.0663,                0.96757,                0.95375,                0.98045,                0.77883,                0.96752,                0.35875,                 1.1892,              0.0051985,              0.0051985,              0.0051985
                     99,                0.77059,                0.35533,                 1.0761,                 0.9674,                0.96452,                0.98515,                0.78375,                0.94816,                0.35379,                 1.1943,               0.005149,               0.005149,               0.005149
                    100,                0.76204,                 0.3518,                 1.0779,                0.96068,                0.96816,                0.98387,                0.78149,                0.95589,                0.35256,                 1.2007,              0.0050995,              0.0050995,              0.0050995
                    101,                0.76266,                0.35228,                 1.0763,                 0.9635,                0.96848,                0.98166,                0.78057,                 0.9679,                0.35332,                 1.1987,                0.00505,                0.00505,                0.00505
                    102,                0.76582,                0.35291,                 1.0722,                0.96147,                0.97284,                0.98394,                0.78289,                0.96222,                0.34844,                 1.2041,              0.0050005,              0.0050005,              0.0050005
                    103,                0.75467,                0.34939,                 1.0658,                0.96628,                 0.9729,                0.98458,                0.78852,                0.95846,                0.33881,                 1.1888,               0.004951,               0.004951,               0.004951
                    104,                0.75018,                0.34276,                 1.0641,                0.96071,                0.97135,                 0.9823,                0.78434,                0.94848,                0.34022,                 1.1892,              0.0049015,              0.0049015,              0.0049015
                    105,                0.75383,                0.34412,                 1.0574,                0.96821,                0.97124,                0.98351,                0.78562,                0.96208,                0.34519,                 1.1982,               0.004852,               0.004852,               0.004852
                    106,                0.76232,                0.34607,                 1.0598,                0.96825,                0.96725,                0.98381,                0.78358,                0.94124,                0.34108,                 1.1632,              0.0048025,              0.0048025,              0.0048025
                    107,                0.74763,                0.34522,                  1.047,                0.97062,                0.97278,                0.98405,                0.78374,                0.95058,                0.33619,                 1.1771,               0.004753,               0.004753,               0.004753
                    108,                 0.7527,                0.34223,                  1.057,                0.96985,                0.96418,                0.98068,                0.77782,                0.96243,                0.34091,                  1.193,              0.0047035,              0.0047035,              0.0047035
                    109,                0.74875,                0.34189,                 1.0556,                0.97231,                 0.9699,                0.98142,                0.77488,                0.95279,                0.34035,                 1.2009,               0.004654,               0.004654,               0.004654
                    110,                0.73973,                0.33961,                 1.0558,                0.97716,                0.96132,                0.98112,                0.78298,                0.94496,                0.34177,                 1.2103,              0.0046045,              0.0046045,              0.0046045
                    111,                0.73187,                0.33414,                  1.057,                0.95716,                0.97566,                0.98211,                0.77785,                0.96475,                0.34624,                 1.2199,               0.004555,               0.004555,               0.004555
                    112,                 0.7318,                0.33503,                 1.0579,                0.96515,                0.96418,                0.98201,                0.77967,                0.96111,                0.35072,                  1.198,              0.0045055,              0.0045055,              0.0045055
